"FID_","AREA","PERIMETER","WOOD05B_CL","WOOD05B__1","POLY_ID_NO","STRUCTURE","COMMUNITY","END_COMMUN"
,201849.84,2266.56,408.00,405.00,"WG150A","Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland"
,212931.62,1870.21,413.00,410.00,"GO74A","Open Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland"
,61095.42,1102.92,417.00,414.00,"WG82","Open Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland"
,60612.29,1611.62,418.00,415.00,"WG79A","Open Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland"
,142286.56,1584.23,423.00,420.00,"GO153A","Open Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland"
,145798.01,1965.91,427.00,424.00,"WG104","Open Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland"
,45597.64,955.71,430.00,427.00,"WG79B","Open Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland"
,257436.76,2305.55,431.00,428.00,"GO75A","Open Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland"
,67819.23,1168.19,433.00,430.00,"WG83","Open Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland"
,56003.62,1030.10,442.00,439.00,"GO149A","Open Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland"
,91883.43,1251.02,448.00,445.00,"WG84","Open Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland"
,177217.89,2389.99,454.00,451.00,"WG92","Open Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland"
,47781.12,971.79,458.00,455.00,"GO93A","Open Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland"
,57860.10,1016.59,463.00,460.00,"WG89","Open Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland"
,31977.40,792.82,464.00,461.00,"WG90","Open Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland"
,27235.92,1007.98,467.00,464.00,"WG148","Open Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland"
,131312.09,1539.94,475.00,472.00,"WG148","Open Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland"
,31011.40,677.48,476.00,473.00,"WG95","Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland"
,358040.96,3482.41,479.00,476.00,"GO154B","Open Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland"
,56962.89,1278.18,485.00,482.00,"GO144A","Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland"
,351825.10,3022.13,486.00,483.00,"WG141A","Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland"
,101007.10,1369.75,487.00,484.00,"WG108","Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland"
,135194.21,1652.53,489.00,486.00,"WG109","Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland"
,196071.60,3767.89,494.00,491.00,"WG147","Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland"
,78018.76,1135.30,495.00,492.00,"WG134A","2o Grassland","Yellow-Box/Red-Gum Endangered Grassy Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland"
