	POLY_CODE	PLOT_ID	POLY_NUM	PLOT_NUM	SURVEY_PT_	ID	X	Y	POINT_X	POINT_Y
144	WG	WG108/3	108	3	b	WG108/3b	697877.74040000000	6102249.08100000000	149.17369738917	-35.20328032494
45	WG	WG108/4	108	4	a	WG108/4a	698067.71030000000	6102345.19600000000	149.17575977010	-35.20237679630
141	WG	WG108/4	108	4	b	WG108/4b	697982.86170000000	6102292.27400000000	149.17484103093	-35.20287039752
35	WG	WG109/1	109	1	a	WG109/1a	698153.76630000000	6102125.85599999000	149.17675724367	-35.20433619760
131	WG	WG109/1	109	1	b	WG109/1b	698063.92079999900	6102169.76200000000	149.17576035012	-35.20395831303
36	WG	WG109/2	109	2	a	WG109/2a	698210.24459999900	6102193.72300000000	149.17736093947	-35.20371352171
132	WG	WG109/2	109	2	b	WG109/2b	698119.16749999900	6102235.01400000000	149.17635115957	-35.20335944778
33	WG	WG109/3	109	3	a	WG109/3a	698180.56759999900	6102301.84399999000	149.17700913234	-35.20274514613
129	WG	WG109/3	109	3	b	WG109/3b	698272.45519999900	6102262.38999999000	149.17802736254	-35.20308250217
34	WG	WG109/4	109	4	a	WG109/4a	698307.95490000000	6102153.33999999000	149.17844332901	-35.20405809456
130	WG	WG109/4	109	4	b	WG109/4b	698244.90729999900	6102075.71899999000	149.17776986798	-35.20476996276
16	WG	WG148/1	148	1	a	WG148/1a	698812.69440000000	6102573.44099999000	149.18388300494	-35.20017288287
112	WG	WG148/1	148	1	b	WG148/1b	698799.52949999900	6102672.57100000000	149.18371456809	-35.19928227199
13	WG	WG148/2	148	2	a	WG148/2a	698948.40090000000	6102765.75100000000	149.18532628935	-35.19841317204
109	WG	WG148/2	148	2	b	WG148/2b	698848.55859999900	6102771.36299999000	149.18422893807	-35.19838238785
15	WG	WG148/3	148	3	a	WG148/3a	699049.77529999900	6102649.63499999000	149.18646715496	-35.19943934544
111	WG	WG148/3	148	3	b	WG148/3b	698952.28319999900	6102671.88999999000	149.18539157033	-35.19925814344
14	WG	WG148/4	148	4	a	WG148/4a	698930.09719999900	6102553.15400000000	149.18517669441	-35.20033241925
110	WG	WG148/4	148	4	b	WG148/4b	699028.03449999900	6102532.94799999000	149.18625668520	-35.20049507172
40	WG	WG150A/1	150A	1	a	WG150A/1a	698813.90430000000	6103579.87700000000	149.18365347732	-35.19110406939
136	WG	WG150A/1	150A	1	b	WG150A/1b	698778.32940000000	6103486.41899999000	149.18328553510	-35.19195322462
38	WG	WG150A/2	150A	2	a	WG150A/2a	698788.49349999900	6104069.93699999000	149.18325638474	-35.18669336862
134	WG	WG150A/2	150A	2	b	WG150A/2b	698785.53430000000	6103969.98099999000	149.18324800693	-35.18759461768
39	WG	WG150A/3	150A	3	a	WG150A/3a	698892.11820000000	6104049.60099999000	149.18439864521	-35.18685609027
135	WG	WG150A/3	150A	3	b	WG150A/3b	698872.88859999900	6103951.46700000000	149.18421125911	-35.18774414396
37	WG	WG150A/4	150A	4	a	WG150A/4a	698975.02659999900	6104037.56800000000	149.18531152898	-35.18694809095
133	WG	WG150A/4	150A	4	b	WG150A/4b	698951.47790000000	6103940.38100000000	149.18507651839	-35.18782846838
5	WG	WG152/1	152	1	a	WG152/1a	698785.16200000000	6104381.96899999000	149.18314458861	-35.18388243232
101	WG	WG152/1	152	1	b	WG152/1b	698783.77560000000	6104481.96000000000	149.18310526707	-35.18298172743
8	WG	WG152/2	152	2	a	WG152/2a	698842.82990000000	6104253.54499999000	149.18380848363	-35.18502819382
104	WG	WG152/2	152	2	b	WG152/2b	698933.74399999900	6104295.19400000000	149.18479626082	-35.18463490742
6	WG	WG152/3	152	3	a	WG152/3a	698867.76710000000	6104394.26499999000	149.18404824147	-35.18375528500
102	WG	WG152/3	152	3	b	WG152/3b	698878.10889999900	6104493.72900000000	149.18413775645	-35.18285700710
7	WG	WG152/4	152	4	a	WG152/4a	699052.11600000000	6104282.59200000000	149.18609848549	-35.18472500489
103	WG	WG152/4	152	4	b	WG152/4b	699046.40379999900	6104382.42899999000	149.18601169066	-35.18382654723
24	WG	WG63/1	63	1	a	WG63/1a	698156.00459999900	6104953.30300000000	149.17610206692	-35.17885867186
120	WG	WG63/1	63	1	b	WG63/1b	698082.17850000000	6104885.85099999000	149.17530804662	-35.17948101912
23	WG	WG63/2	63	2	a	WG63/2a	698145.22400000000	6105052.21300000000	149.17595999061	-35.17796955460
119	WG	WG63/2	63	2	b	WG63/2b	698239.75690000000	6105019.60099999000	149.17700528876	-35.17824475925
22	WG	WG63/3	63	3	a	WG63/3a	698209.58290000000	6105140.26900000000	149.17664514251	-35.17716341612
118	WG	WG63/3	63	3	b	WG63/3b	698297.26780000000	6105092.19199999000	149.17761899675	-35.17757931658
21	WG	WG63/4	63	4	a	WG63/4a	698242.96649999900	6104895.30200000000	149.17707039002	-35.17936414029
117	WG	WG63/4	63	4	b	WG63/4b	698338.66790000000	6104866.29800000000	149.17812766588	-35.17960659340
4	WG	WG63A/1	63A	1	a	WG63A/1a	698140.43629999900	6104553.64200000000	149.17602723287	-35.18246294851
100	WG	WG63A/1	63A	1	b	WG63A/1b	698055.89760000000	6104607.05800000000	149.17508657412	-35.18199830910
1	WG	WG63A/2	63A	2	a	WG63A/2a	698189.36970000000	6104635.25299999000	149.17654467221	-35.18171792629
97	WG	WG63A/2	63A	2	b	WG63A/2b	698220.53910000000	6104730.27099999000	149.17686392006	-35.18085560215
3	WG	WG63A/3	63A	3	a	WG63A/3a	698272.69940000000	6104645.98199999000	149.17745664351	-35.18160480535
99	WG	WG63A/3	63A	3	b	WG63A/3b	698308.24230000000	6104739.45199999000	149.17782425242	-35.18075556418
2	WG	WG63A/4	63A	4	a	WG63A/4a	698307.32330000000	6104543.18699999000	149.17786136354	-35.18252421853
98	WG	WG63A/4	63A	4	b	WG63A/4b	698393.60400000000	6104593.74000000000	149.17879614799	-35.18205166513
